Point,Obj,Variables,θ,φ,r2
1,0.5301867382178514,[7],0.5478195723412342,0,0.3366706488880097
2,0.4027722174962287,"[13, 14]",0.8413265679091533,0.0030841869608110575,0.0829609179051799
3,0.5049080872155001,"[7, 14]",1.0552546571758734,0.27418357781060737,0.8219613409939328
4,1.0747324471551476,"[7, 13, 14]",1.3891461402503875,0.7785985374544521,0.6642277509949707
5,1.193367513864749,"[7, 13, 14, 15]",1.641721069531497,2.348453606077891,0.851200906467532
6,1.2585405540014025,"[5, 7, 13, 14, 15]",1.8128311575470852,3.742447373186651,0.7596579046778296
7,1.373842254839634,"[5, 7, 12, 13, 14, 15]",2.020618503210651,5.766987998237792,0.8525559797398425
8,1.8169183042227068,"[5, 7, 8, 12, 13, 14, 15]",2.2015405017320155,9.747960428074993,0.8529166382797411
9,1.9626830604007668,"[5, 7, 8, 10, 12, 13, 14, 15]",2.328230740185496,14.563523620177092,0.8114138930918117
10,2.044107429350202,"[5, 6, 7, 8, 10, 12, 13, 14, 15]",2.4253183869644674,19.864833783890013,0.8254574397355767
11,2.130109559510156,"[5, 6, 7, 8, 9, 10, 12, 13, 14, 15]",2.5265728451328346,26.240786011210595,0.884461540497227
12,2.2299215627348943,"[3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]",2.62009985221831,33.803387012468335,0.8918231043736455
13,2.3310536526040235,"[1, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]",2.713530386079666,42.47395026358473,0.7931990316541242
14,2.4303487529796177,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]",2.7754278152497536,51.99918660706191,0.9392970978558778
15,2.567973259650971,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",2.822254681855718,61.12585122599374,0.908656068135052
16,0.5301867382178514,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",2.843393757547531,69.02367373703478,0.942455341177224
